#{"t_start": 1640703832.6433957, "env_id": "Pendulum-v0"}
r,l,t
-1193.088992,200,0.132453
-894.516687,200,0.241952
-1236.206348,200,0.357239
-1299.396998,200,0.470625
-1313.685508,200,0.579042
-1236.440869,200,1.057498
-1389.388801,200,1.198005
-1193.778309,200,1.313049
-1383.07587,200,1.436289
-1573.300585,200,1.564763
-999.895532,200,1.936924
-1029.034692,200,2.056078
-1172.030427,200,2.174521
-1119.476803,200,2.292392
-989.785903,200,2.424651
-1290.860907,200,2.781401
-1448.427063,200,2.897755
-1298.696355,200,3.011942
-863.491252,200,3.133393
-1261.137432,200,3.260864
-1124.245215,200,3.598126
-1385.787144,200,3.714612
-1310.763499,200,3.834849
-871.213485,200,3.949923
-1021.516057,200,4.066462
-1478.879913,200,4.795425
-1543.166427,200,4.908657
-878.993607,200,5.028414
-1469.520446,200,5.144293
-1145.273787,200,5.365396
-1166.61448,200,5.804355
-1376.811898,200,5.913376
-1178.459233,200,6.033569
-1017.860124,200,6.144683
-1141.427395,200,6.268999
-1183.899362,200,6.715254
-1194.115731,200,6.827103
-1172.262644,200,6.950497
-1040.01309,200,7.075248
-1095.427484,200,7.197988
-897.908626,200,7.563405
-1520.426829,200,7.67902
-947.336709,200,7.794207
-1062.542062,200,7.904966
-947.533129,200,8.019012
-1288.475014,200,8.130727
-1243.487423,200,8.487603
-1046.121692,200,8.604315
-1364.112423,200,8.7227
-987.208025,200,8.840834
-1002.405942,200,9.334735
-1026.80474,200,9.690415
-1022.246453,200,9.807542
-1080.80622,200,9.922509
-891.504205,200,10.041623
-894.615101,200,10.156854
-951.492389,200,10.541805
-1369.886278,200,10.668435
-758.388802,200,10.784328
-1226.260353,200,10.900306
-1297.92682,200,11.026687
-1125.351812,200,11.38394
-1089.812695,200,11.506469
-1166.671375,200,11.622502
-919.748616,200,11.748287
-905.438714,200,11.872756
-1182.899179,200,12.249794
-1225.111553,200,12.367918
-1029.81849,200,12.482361
-900.945147,200,12.599845
-767.79457,200,12.716306
-973.776253,200,13.085478
-801.663218,200,13.201618
-1311.665723,200,13.312105
-906.137016,200,13.424165
-1144.82863,200,13.909105
-895.83518,200,14.276789
-943.027966,200,14.390345
-1049.464204,200,14.499262
-983.098121,200,14.608433
-618.06897,200,14.725237
-1125.08058,200,15.112665
-1045.413776,200,15.224184
-884.70313,200,15.335582
-985.845986,200,15.451181
-891.099413,200,15.5619
-719.9507,200,15.673375
-786.113549,200,16.046632
-787.197637,200,16.158182
-747.367799,200,16.268101
-1232.993904,200,16.381707
-788.890315,200,16.493773
-790.446582,200,16.872846
-651.009311,200,16.981631
-966.711797,200,17.091236
-929.60384,200,17.206737
-940.854286,200,17.327954
-798.599711,200,17.750788
-795.842137,200,17.891017
-940.955306,200,18.031661
-822.732789,200,18.653347
-1153.064699,200,18.799689
-895.048378,200,19.268852
-701.888587,200,19.41813
-1024.791177,200,19.563253
-952.991235,200,19.708583
-944.295514,200,19.85506
-825.851359,200,20.322109
-1147.415052,200,20.471405
-973.080371,200,20.616497
-926.61009,200,20.761574
-784.870575,200,20.907229
-651.835161,200,21.380676
-855.118177,200,21.526383
-533.917183,200,21.671874
-964.001346,200,21.817187
-1065.936866,200,21.962395
-981.514941,200,22.43939
-439.290312,200,22.585763
-985.14172,200,22.730614
-901.882483,200,22.876353
-801.008702,200,23.021469
-1090.795983,200,23.481266
-820.381636,200,23.629921
-1183.729646,200,23.775348
-689.693813,200,24.408253
-929.963521,200,24.555835
-809.806208,200,24.701363
-816.734505,200,25.173165
-659.303225,200,25.318719
-266.574853,200,25.572697
-422.76004,200,25.782003
-708.650592,200,25.963737
-398.352825,200,26.486777
-630.699038,200,26.642645
-341.433902,200,26.802071
-269.000856,200,26.95259
-543.094217,200,27.108691
-603.623111,200,27.599101
-431.909735,200,27.779112
-473.318093,200,27.972333
-657.690814,200,28.137801
-533.656142,200,28.325569
-505.794285,200,28.87659
-399.708935,200,29.084845
-591.673008,200,29.257123
-674.46594,200,29.422009
-657.626229,200,29.618885
-673.832865,200,30.218098
-528.64242,200,30.390503
-134.335531,200,31.091177
-669.07221,200,31.24937
-134.292573,200,31.411341
-560.436648,200,31.917344
-787.774436,200,32.074503
-269.772867,200,32.225513
-266.7109,200,32.383307
-398.331617,200,32.534088
-516.850311,200,33.083925
-526.874956,200,33.24248
-648.601388,200,33.402988
-444.088914,200,33.55966
-781.711042,200,33.713615
-389.425343,200,34.213176
-137.898641,200,34.372281
-637.644025,200,34.531946
-402.022597,200,34.692276
-131.242539,200,34.848792
-399.24813,200,35.351878
-269.78192,200,35.518665
-292.485141,200,35.684201
-258.99829,200,35.857854
-259.98066,200,36.017921
-389.926527,200,36.191343
-139.717279,200,36.706268
-130.589769,200,37.392189
-416.100129,200,37.558809
-269.039,200,37.723701
-5.253696,200,37.884559
-399.689574,200,38.385304
-140.329455,200,38.550594
-277.635409,200,38.722384
-286.763183,200,38.889718
-328.112754,200,39.065932
-136.976238,200,39.700193
-269.574715,200,39.875454
-402.900155,200,40.049899
-642.752398,200,40.216256
-287.085225,200,40.391261
-138.88843,200,40.902306
-128.28152,200,41.069443
-261.239213,200,41.22605
-4.763011,200,41.383795
-248.944981,200,41.544768
-133.896769,200,42.044652
-399.701185,200,42.204168
-136.14852,200,42.367108
-537.878877,200,42.584208
-134.459108,200,42.790973
-517.264909,200,43.359957
-137.135977,200,44.075507
-3.780267,200,44.232577
-268.476426,200,44.395495
-312.150024,200,44.549618
-303.498216,200,45.19796
-263.642595,200,45.392515
-132.812507,200,45.602378
-4.76316,200,45.796016
-550.15286,200,45.973224
-139.313687,200,46.491238
-565.18987,200,46.665477
-394.554757,200,46.834344
-272.857361,200,47.00401
-579.85969,200,47.173102
-403.87986,200,47.336807
-643.858465,200,47.824338
-274.017224,200,47.97676
-119.435439,200,48.127168
-324.279673,200,48.277143
-255.037288,200,48.421902
-134.447982,200,48.877296
-134.710895,200,49.022434
-266.861288,200,49.167484
-137.240311,200,49.31253
-134.575512,200,49.457633
-131.354393,200,50.411423
-272.21957,200,50.566895
-266.63891,200,50.737616
-268.337565,200,50.970837
-268.900337,200,51.161785
-287.008649,200,51.741008
-139.30716,200,51.94793
-353.838847,200,52.127664
-374.640686,200,52.310672
-133.727377,200,52.485642
-274.816407,200,52.999831
-260.747526,200,53.16069
-130.949612,200,53.324271
-132.829641,200,53.48026
-264.161746,200,53.664808
-135.660358,200,54.202081
-268.980816,200,54.356209
-246.157395,200,54.50608
-137.413522,200,54.654422
-4.046403,200,54.802841
-134.346735,200,55.264561
-246.645828,200,55.411347
-265.905576,200,55.555353
-134.563652,200,55.707263
-136.527699,200,55.869195
